profile_type,income,expenses,savings,loan_emi,income_variability,savings_rate,expense_ratio,debt_to_income,runway_months,financial_goal,goal_amount,goal_months,risk_level,recommendation_category
Gig worker,18334.0,12489,24606,6280,14.94,0.0,68.1,34.3,2.6,Retirement Reserve,75000,36,High,Financial Risk
Online seller,88064.0,28729,187701,0,30.54,67.4,32.6,0.0,9.4,Emergency Fund,75000,6,Low,Moderately Variable Income
Daily wage worker,7162.0,8780,93513,1284,70.69,0.0,122.6,17.9,12.5,Child Education,500000,12,High,Financial Risk
Self-employed person,34844.0,21189,151286,4757,23.27,25.5,60.8,13.7,10.3,Debt Repayment,30000,36,Low,Moderately Variable Income
Consultant,73143.0,26945,169181,14383,20.04,43.5,36.8,19.7,7.3,Home Downpayment,75000,18,Low,Stable Income
Self-employed person,35348.0,24282,11538,0,31.15,31.3,68.7,0.0,0.6,Working Capital Buffer,50000,24,High,Financial Risk
Daily wage worker,13359.0,14724,27428,2532,48.16,0.0,110.2,19.0,2.4,Child Education,150000,12,High,Financial Risk
Commission-based worker,57134.0,17380,180601,4814,55.91,61.2,30.4,8.4,16.0,Home Downpayment,100000,6,Medium,Highly Variable Income
Shop owner,24788.0,19328,17902,8039,22.12,0.0,78.0,32.4,1.1,Business Expansion,250000,24,High,Financial Risk
Commission-based worker,26780.0,17851,113872,4790,49.25,15.5,66.7,17.9,7.5,Working Capital Buffer,500000,12,Medium,Highly Variable Income
Self-employed person,34665.0,23468,11709,11336,22.77,0.0,67.7,32.7,0.6,Working Capital Buffer,75000,6,High,Financial Risk
Commission-based worker,26380.0,15895,38127,0,36.45,39.7,60.3,0.0,3.2,Working Capital Buffer,75000,6,Low,Moderately Variable Income
Seasonal business owner,71768.0,35044,218997,10761,50.8,36.2,48.8,15.0,8.7,Debt Repayment,50000,6,Medium,Highly Variable Income
Shop owner,37785.0,24808,128664,7354,32.0,14.9,65.7,19.5,7.3,Emergency Fund,100000,12,Low,Moderately Variable Income
Online seller,58575.0,32056,18319,0,34.36,45.3,54.7,0.0,0.9,Retirement Reserve,75000,18,High,Financial Risk
Consultant,88143.0,46248,143651,25834,18.09,18.2,52.5,29.3,4.5,Business Expansion,75000,6,Low,Stable Income
Gig worker,24626.0,15154,88916,7329,34.97,8.7,61.5,29.8,8.5,Child Education,500000,6,Medium,Highly Variable Income
Self-employed person,36477.0,26077,55662,6738,48.43,10.0,71.5,18.5,3.1,Business Expansion,100000,18,Medium,Highly Variable Income
Freelancer,41502.0,23864,220205,7837,14.23,23.6,57.5,18.9,11.0,Emergency Fund,75000,6,Low,Stable Income
Gig worker,26110.0,15924,144298,0,32.04,39.0,61.0,0.0,11.4,Retirement Reserve,150000,24,Low,Moderately Variable Income
Online seller,41931.0,33447,30919,11435,57.07,0.0,79.8,27.3,1.4,Home Downpayment,75000,12,High,Financial Risk
Consultant,52595.0,30436,190711,0,36.99,42.1,57.9,0.0,7.5,Retirement Reserve,75000,24,Medium,Highly Variable Income
Freelancer,42973.0,25876,105346,14505,51.59,6.0,60.2,33.8,6.1,Child Education,75000,6,Medium,Highly Variable Income
Freelancer,30929.0,18866,39648,7490,45.5,14.8,61.0,24.2,3.0,Home Downpayment,250000,6,Medium,Highly Variable Income
Commission-based worker,21239.0,20323,74016,8409,32.5,0.0,95.7,39.6,4.6,Business Expansion,250000,24,High,Financial Risk
Gig worker,32764.0,18254,74858,0,39.17,44.3,55.7,0.0,6.1,Child Education,250000,12,Low,Moderately Variable Income
Commission-based worker,57776.0,24157,73517,0,51.71,58.2,41.8,0.0,4.3,Child Education,75000,24,Medium,Highly Variable Income
Small business owner,21706.0,24416,101564,7021,57.97,0.0,112.5,32.3,6.1,Working Capital Buffer,75000,18,High,Financial Risk
Seasonal business owner,88922.0,32810,69805,13027,16.48,48.5,36.9,14.6,2.7,Home Downpayment,500000,36,Low,Stable Income
Online seller,27096.0,29169,12248,0,40.07,0.0,107.7,0.0,0.5,Working Capital Buffer,100000,6,High,Financial Risk
Commission-based worker,51290.0,19470,22816,16891,37.96,29.1,38.0,32.9,1.8,Emergency Fund,100000,6,Medium,Moderately Variable Income
Small business owner,47363.0,21968,114131,17124,53.02,17.5,46.4,36.2,6.9,Business Expansion,50000,6,Medium,Highly Variable Income
Self-employed person,29963.0,18340,15405,0,21.7,38.8,61.2,0.0,1.0,Home Downpayment,150000,36,Medium,Stable Income
Self-employed person,20861.0,23124,50516,7779,45.98,0.0,110.8,37.3,2.8,Child Education,30000,12,High,Financial Risk
Shop owner,36587.0,17978,19772,10021,42.93,23.5,49.1,27.4,1.6,Working Capital Buffer,100000,18,High,Highly Variable Income
Small business owner,38967.0,25353,182478,0,48.28,34.9,65.1,0.0,9.8,Retirement Reserve,150000,18,Medium,Highly Variable Income
Shop owner,24236.0,24694,102295,0,13.64,0.0,101.9,0.0,5.9,Debt Repayment,50000,6,High,Financial Risk
Daily wage worker,9577.0,11199,42011,1033,44.17,0.0,116.9,10.8,4.4,Emergency Fund,250000,36,High,Financial Risk
Self-employed person,31347.0,22449,11652,0,39.36,28.4,71.6,0.0,0.7,Home Downpayment,250000,24,High,Financial Risk
Seasonal business owner,50076.0,32140,172302,12842,65.9,10.2,64.2,25.6,8.0,Retirement Reserve,30000,12,Medium,Highly Variable Income
Daily wage worker,7006.0,9784,78151,0,63.85,0.0,139.6,0.0,9.3,Home Downpayment,100000,24,High,Financial Risk
Freelancer,46483.0,27923,158380,8948,71.96,20.7,60.1,19.3,8.1,Debt Repayment,75000,36,Medium,Highly Variable Income
Small business owner,33091.0,29537,180832,2757,29.7,2.4,89.3,8.3,7.9,Retirement Reserve,250000,6,Low,Moderately Variable Income
Gig worker,26750.0,15551,106409,5438,31.48,21.5,58.1,20.3,8.6,Debt Repayment,500000,18,Low,Moderately Variable Income
Daily wage worker,19022.0,12700,64836,4822,18.01,7.9,66.8,25.3,7.1,Child Education,30000,18,Low,Stable Income
Consultant,84696.0,46997,23090,0,19.0,44.5,55.5,0.0,0.7,Retirement Reserve,100000,18,High,Financial Risk
Small business owner,48830.0,19702,8730,9631,36.05,39.9,40.3,19.7,0.6,Business Expansion,30000,24,High,Financial Risk
Gig worker,21082.0,15479,63190,4336,17.07,6.0,73.4,20.6,5.9,Emergency Fund,50000,6,Low,Stable Income
Commission-based worker,49289.0,21267,23961,0,68.15,56.9,43.1,0.0,1.7,Debt Repayment,250000,36,High,Highly Variable Income
Gig worker,9382.0,12029,38213,1190,46.56,0.0,128.2,12.7,3.8,Retirement Reserve,500000,6,High,Financial Risk
Freelancer,33855.0,23901,144525,0,44.5,29.4,70.6,0.0,7.7,Retirement Reserve,75000,12,Medium,Highly Variable Income
Commission-based worker,43239.0,20559,75316,0,46.68,52.5,47.5,0.0,4.8,Business Expansion,100000,24,Medium,Highly Variable Income
Daily wage worker,17806.0,11404,85203,5617,50.28,4.4,64.0,31.5,9.2,Emergency Fund,150000,18,Medium,Highly Variable Income
Self-employed person,33128.0,25129,51748,0,41.75,24.1,75.9,0.0,2.8,Debt Repayment,30000,36,Medium,Moderately Variable Income
Self-employed person,28924.0,23617,12600,0,20.0,18.3,81.7,0.0,0.7,Business Expansion,100000,18,High,Financial Risk
Self-employed person,25154.0,21361,118456,5716,40.74,0.0,84.9,22.7,6.6,Debt Repayment,500000,36,High,Financial Risk
Seasonal business owner,39748.0,28576,28319,12220,13.67,0.0,71.9,30.7,1.4,Child Education,30000,18,High,Financial Risk
Consultant,112258.0,24015,243762,0,14.33,78.6,21.4,0.0,12.1,Home Downpayment,150000,18,Low,Stable Income
Seasonal business owner,62416.0,26692,189168,23280,33.97,19.9,42.8,37.3,9.0,Child Education,250000,36,Medium,Highly Variable Income
Daily wage worker,13636.0,12920,90515,3514,31.81,0.0,94.7,25.8,8.6,Working Capital Buffer,50000,12,High,Financial Risk
Consultant,57394.0,43339,431067,22812,20.31,0.0,75.5,39.7,14.1,Child Education,75000,24,High,Financial Risk
Seasonal business owner,70988.0,34351,176143,22137,54.11,20.4,48.4,31.2,7.3,Emergency Fund,30000,24,Medium,Highly Variable Income
Freelancer,79755.0,22122,69579,7852,39.86,62.4,27.7,9.8,4.0,Child Education,75000,18,Medium,Highly Variable Income
Gig worker,27175.0,19142,59650,4033,50.71,14.7,70.4,14.8,4.1,Debt Repayment,75000,12,Medium,Highly Variable Income
Freelancer,22453.0,28665,141509,4687,69.92,0.0,127.7,20.9,7.0,Emergency Fund,75000,12,High,Financial Risk
Commission-based worker,20580.0,15806,156039,5449,15.91,0.0,76.8,26.5,11.9,Emergency Fund,100000,18,High,Financial Risk
Gig worker,30652.0,20011,11868,0,70.76,34.7,65.3,0.0,0.9,Retirement Reserve,30000,12,High,Financial Risk
Shop owner,49256.0,28300,106134,0,22.82,42.5,57.5,0.0,5.5,Debt Repayment,50000,18,Low,Moderately Variable Income
Commission-based worker,37598.0,17574,149666,14825,86.4,13.8,46.7,39.4,11.2,Emergency Fund,500000,6,Medium,Highly Variable Income
Seasonal business owner,69166.0,25450,12974,21175,59.73,32.6,36.8,30.6,0.7,Child Education,100000,12,High,Financial Risk
Commission-based worker,22330.0,16561,8640,0,66.83,25.8,74.2,0.0,0.6,Debt Repayment,150000,12,High,Financial Risk
Small business owner,39958.0,20752,58646,11672,25.5,18.9,51.9,29.2,4.0,Emergency Fund,100000,12,Low,Moderately Variable Income
Online seller,92074.0,24063,176130,32560,29.38,38.5,26.1,35.4,9.5,Working Capital Buffer,500000,24,Low,Moderately Variable Income
Freelancer,77541.0,16698,67013,0,59.52,78.5,21.5,0.0,4.7,Retirement Reserve,50000,6,Medium,Highly Variable Income
Online seller,69435.0,27104,11762,9731,45.18,47.0,39.0,14.0,0.5,Home Downpayment,250000,6,High,Financial Risk
Daily wage worker,10622.0,12516,41357,2555,27.69,0.0,117.8,24.1,4.8,Home Downpayment,75000,6,High,Financial Risk
Self-employed person,26863.0,18768,72049,0,16.8,30.1,69.9,0.0,4.9,Business Expansion,150000,12,Low,Stable Income
Self-employed person,20282.0,23467,162211,5028,28.13,0.0,115.7,24.8,10.7,Retirement Reserve,150000,36,High,Financial Risk
Consultant,104871.0,26608,59226,41778,31.61,34.8,25.4,39.8,2.6,Business Expansion,75000,24,Medium,Moderately Variable Income
Commission-based worker,34013.0,21706,148548,10254,41.11,6.0,63.8,30.1,9.1,Emergency Fund,50000,12,Medium,Highly Variable Income
Self-employed person,37344.0,27563,201339,14735,19.48,0.0,73.8,39.5,10.9,Debt Repayment,150000,36,High,Financial Risk
Commission-based worker,31272.0,21052,12368,11249,47.6,0.0,67.3,36.0,0.8,Working Capital Buffer,150000,24,High,Financial Risk
Gig worker,11917.0,20187,125189,2436,37.2,0.0,169.4,20.4,8.5,Working Capital Buffer,250000,6,High,Financial Risk
Consultant,53631.0,47031,108661,12812,9.8,0.0,87.7,23.9,3.6,Debt Repayment,150000,24,High,Financial Risk
Freelancer,54789.0,20974,39915,18638,50.66,27.7,38.3,34.0,2.6,Emergency Fund,150000,12,High,Highly Variable Income
Commission-based worker,40996.0,18859,33199,0,93.05,54.0,46.0,0.0,2.5,Working Capital Buffer,75000,18,High,Highly Variable Income
Self-employed person,42463.0,20173,61020,12900,13.49,22.1,47.5,30.4,3.6,Child Education,50000,6,Low,Stable Income
Small business owner,51982.0,20025,124341,0,59.55,61.5,38.5,0.0,8.4,Retirement Reserve,500000,18,Medium,Highly Variable Income
Seasonal business owner,39197.0,32368,238062,8338,45.63,0.0,82.6,21.3,9.6,Working Capital Buffer,100000,18,High,Financial Risk
Gig worker,13338.0,19643,148841,0,41.09,0.0,147.3,0.0,11.2,Retirement Reserve,150000,6,High,Financial Risk
Shop owner,38686.0,25285,175205,5841,24.54,19.5,65.4,15.1,9.1,Emergency Fund,500000,18,Low,Moderately Variable Income
Gig worker,31413.0,18451,70108,4818,44.59,25.9,58.7,15.3,5.5,Working Capital Buffer,50000,24,Low,Moderately Variable Income
Online seller,43886.0,38080,86685,4702,27.74,2.5,86.8,10.7,3.1,Retirement Reserve,75000,36,Low,Moderately Variable Income
Consultant,62271.0,36161,189793,24359,34.61,2.8,58.1,39.1,7.2,Child Education,75000,12,Low,Moderately Variable Income
Daily wage worker,8986.0,13127,6185,0,25.89,0.0,146.1,0.0,0.7,Child Education,500000,24,High,Financial Risk
Daily wage worker,17280.0,11876,112040,0,53.6,31.3,68.7,0.0,13.7,Business Expansion,250000,12,Medium,Highly Variable Income
Small business owner,25568.0,25746,14219,2864,21.06,0.0,100.7,11.2,0.8,Emergency Fund,50000,24,High,Financial Risk
Consultant,67426.0,33242,130008,26692,15.34,11.1,49.3,39.6,5.2,Emergency Fund,500000,12,Low,Stable Income
Self-employed person,59806.0,25047,138674,17692,47.15,28.5,41.9,29.6,7.2,Business Expansion,50000,36,Medium,Highly Variable Income
Consultant,59634.0,40283,47849,9833,52.23,16.0,67.6,16.5,1.8,Business Expansion,100000,24,High,Highly Variable Income
Seasonal business owner,59267.0,31010,163560,10394,78.46,30.1,52.3,17.5,6.7,Working Capital Buffer,250000,24,Medium,Highly Variable Income
Freelancer,68879.0,20665,120191,0,45.0,70.0,30.0,0.0,8.8,Home Downpayment,75000,18,Medium,Highly Variable Income
Consultant,120682.0,27246,23076,34131,17.99,49.1,22.6,28.3,1.0,Retirement Reserve,100000,24,Medium,Stable Income
Freelancer,48265.0,20518,48244,18605,37.25,18.9,42.5,38.5,3.0,Child Education,50000,24,Medium,Highly Variable Income
Freelancer,45825.0,17039,101740,15349,42.17,29.3,37.2,33.5,6.9,Business Expansion,250000,12,Medium,Highly Variable Income
Seasonal business owner,66820.0,24254,21314,17793,61.06,37.1,36.3,26.6,1.1,Home Downpayment,500000,6,High,Highly Variable Income
Small business owner,47654.0,21099,11068,3904,25.01,47.5,44.3,8.2,0.8,Business Expansion,100000,18,High,Financial Risk
Commission-based worker,32994.0,20852,218773,4571,19.71,22.9,63.2,13.9,15.2,Emergency Fund,500000,18,Low,Stable Income
Small business owner,22663.0,22817,45679,0,39.09,0.0,100.7,0.0,3.0,Business Expansion,75000,12,High,Financial Risk
Gig worker,15314.0,17191,93689,3969,33.88,0.0,112.3,25.9,7.9,Retirement Reserve,30000,6,High,Financial Risk
Gig worker,30760.0,20883,66475,0,24.59,32.1,67.9,0.0,4.5,Business Expansion,75000,36,Low,Moderately Variable Income
Freelancer,30812.0,23891,137628,0,64.18,22.5,77.5,0.0,7.1,Business Expansion,150000,12,Medium,Highly Variable Income
Self-employed person,56144.0,20769,48109,11206,14.98,43.0,37.0,20.0,2.8,Child Education,150000,24,Low,Stable Income
Daily wage worker,9259.0,10823,35337,2782,27.99,0.0,116.9,30.0,4.5,Emergency Fund,250000,18,High,Financial Risk
Online seller,57649.0,29454,16214,0,49.42,48.9,51.1,0.0,0.8,Retirement Reserve,150000,24,High,Financial Risk
Gig worker,23120.0,18285,192358,3111,37.7,7.5,79.1,13.5,12.8,Home Downpayment,30000,6,Medium,Highly Variable Income
Self-employed person,39270.0,24060,186848,5423,21.35,24.9,61.3,13.8,10.2,Home Downpayment,250000,6,Low,Stable Income
Online seller,46188.0,33449,233388,0,21.71,27.6,72.4,0.0,8.5,Business Expansion,150000,12,Low,Stable Income
Gig worker,38178.0,11832,87880,0,26.49,69.0,31.0,0.0,8.9,Working Capital Buffer,30000,6,Low,Moderately Variable Income
Commission-based worker,51865.0,23860,84422,0,50.85,54.0,46.0,0.0,4.9,Retirement Reserve,75000,24,Medium,Highly Variable Income
Shop owner,44850.0,23045,204595,12331,35.77,21.1,51.4,27.5,10.6,Home Downpayment,50000,36,Low,Moderately Variable Income
Gig worker,13812.0,13535,136116,3396,45.58,0.0,98.0,24.6,13.5,Child Education,150000,36,High,Financial Risk
Self-employed person,34084.0,22940,13763,9564,27.5,4.6,67.3,28.1,0.8,Retirement Reserve,75000,6,High,Financial Risk
Commission-based worker,49292.0,18463,42532,0,40.44,62.5,37.5,0.0,3.5,Child Education,150000,12,Medium,Highly Variable Income
Shop owner,58580.0,17809,158204,0,24.2,69.6,30.4,0.0,12.0,Emergency Fund,100000,24,Low,Moderately Variable Income
Self-employed person,52704.0,26882,57115,10253,35.56,29.5,51.0,19.5,2.8,Child Education,250000,18,Medium,Moderately Variable Income
Shop owner,24681.0,26058,85691,6591,16.59,0.0,105.6,26.7,4.6,Working Capital Buffer,500000,18,High,Financial Risk
Freelancer,87173.0,28427,178642,0,27.8,67.4,32.6,0.0,8.8,Home Downpayment,50000,24,Low,Moderately Variable Income
Online seller,35491.0,29156,12024,6018,58.98,0.9,82.1,17.0,0.6,Business Expansion,250000,36,High,Financial Risk
Consultant,54367.0,30023,52281,0,35.68,44.8,55.2,0.0,2.4,Home Downpayment,75000,18,Medium,Moderately Variable Income
Self-employed person,54875.0,21673,138094,0,36.0,60.5,39.5,0.0,8.2,Debt Repayment,75000,18,Low,Moderately Variable Income
Online seller,41176.0,39931,71358,9671,58.66,0.0,97.0,23.5,2.7,Debt Repayment,75000,18,High,Financial Risk
Gig worker,17833.0,13345,6740,2788,29.59,9.5,74.8,15.6,0.6,Working Capital Buffer,30000,36,High,Financial Risk
Consultant,75669.0,33876,262981,7849,28.12,44.9,44.8,10.4,9.5,Home Downpayment,75000,6,Low,Moderately Variable Income
Shop owner,42874.0,20725,143098,0,50.75,51.7,48.3,0.0,9.9,Child Education,150000,6,Medium,Highly Variable Income
Daily wage worker,23922.0,9842,35626,6336,31.63,32.4,41.1,26.5,4.9,Child Education,500000,12,Low,Moderately Variable Income
Commission-based worker,40490.0,26540,205708,14878,36.37,0.0,65.5,36.7,11.6,Child Education,100000,24,High,Financial Risk
Seasonal business owner,92638.0,22663,177604,17035,72.19,57.1,24.5,18.4,9.8,Child Education,500000,36,Medium,Highly Variable Income
Gig worker,26370.0,18564,17482,8344,28.47,0.0,70.4,31.6,1.2,Home Downpayment,75000,18,High,Financial Risk
Shop owner,41467.0,16064,17331,0,9.3,61.3,38.7,0.0,1.3,Debt Repayment,100000,24,Medium,Stable Income
Small business owner,51468.0,25075,236330,19851,57.49,12.7,48.7,38.6,12.0,Emergency Fund,50000,6,Medium,Highly Variable Income
Shop owner,54250.0,26848,83457,0,28.37,50.5,49.5,0.0,4.6,Debt Repayment,500000,24,Low,Moderately Variable Income
Online seller,27516.0,24420,47919,10431,40.61,0.0,88.7,37.9,2.4,Emergency Fund,50000,24,High,Financial Risk
Daily wage worker,8052.0,12632,42020,0,29.05,0.0,156.9,0.0,4.2,Working Capital Buffer,30000,12,High,Financial Risk
Seasonal business owner,82090.0,29808,48447,27108,42.39,30.7,36.3,33.0,2.2,Retirement Reserve,100000,24,High,Highly Variable Income
Self-employed person,61019.0,17962,38995,20389,20.93,37.1,29.4,33.4,2.7,Emergency Fund,30000,18,Low,Stable Income
Seasonal business owner,133963.0,29002,242319,23530,55.62,60.8,21.6,17.6,12.6,Business Expansion,500000,18,Medium,Highly Variable Income
Shop owner,27329.0,17669,10478,7396,13.71,8.3,64.7,27.1,0.8,Debt Repayment,50000,18,High,Financial Risk
Small business owner,49913.0,24127,163067,5190,45.18,41.3,48.3,10.4,8.5,Working Capital Buffer,250000,6,Medium,Highly Variable Income
Commission-based worker,39571.0,15495,105796,8036,71.77,40.5,39.2,20.3,8.4,Emergency Fund,75000,36,Medium,Highly Variable Income
Commission-based worker,23422.0,19325,71055,0,30.92,17.5,82.5,0.0,4.3,Child Education,100000,18,Low,Moderately Variable Income
Seasonal business owner,97506.0,28929,175804,0,92.63,70.3,29.7,0.0,9.0,Emergency Fund,50000,24,Medium,Highly Variable Income
Daily wage worker,11039.0,10845,43685,4150,40.6,0.0,98.2,37.6,4.8,Retirement Reserve,30000,6,High,Financial Risk
Commission-based worker,36042.0,19571,18013,0,35.67,45.7,54.3,0.0,1.3,Child Education,250000,6,Medium,Moderately Variable Income
Shop owner,54318.0,22437,47991,20696,8.72,20.6,41.3,38.1,3.2,Home Downpayment,100000,36,Low,Stable Income
Gig worker,15649.0,21575,154975,0,12.18,0.0,137.9,0.0,10.4,Business Expansion,30000,36,High,Financial Risk
Commission-based worker,47620.0,19084,131071,10036,35.24,38.8,40.1,21.1,9.9,Business Expansion,250000,6,Low,Moderately Variable Income
Consultant,117737.0,30223,203599,26456,27.72,51.9,25.7,22.5,8.4,Home Downpayment,150000,24,Low,Moderately Variable Income
Shop owner,35267.0,21441,81126,0,40.8,39.2,60.8,0.0,5.0,Retirement Reserve,500000,12,Low,Moderately Variable Income
Daily wage worker,6136.0,10938,59925,0,10.25,0.0,178.3,0.0,7.4,Debt Repayment,50000,36,High,Financial Risk
Online seller,54892.0,23577,22943,0,44.11,57.0,43.0,0.0,1.2,Home Downpayment,250000,36,High,Highly Variable Income
Freelancer,73078.0,24020,25563,0,50.9,67.1,32.9,0.0,1.4,Home Downpayment,50000,12,High,Highly Variable Income
Self-employed person,50855.0,25090,29325,0,27.93,50.7,49.3,0.0,1.7,Business Expansion,30000,18,Medium,Moderately Variable Income
Commission-based worker,40938.0,22136,45660,3293,66.51,37.9,54.1,8.0,2.8,Working Capital Buffer,250000,12,High,Highly Variable Income
Gig worker,32478.0,16962,52187,0,41.85,47.8,52.2,0.0,4.3,Emergency Fund,75000,24,Medium,Highly Variable Income
Freelancer,37774.0,23810,197792,0,47.57,37.0,63.0,0.0,10.4,Retirement Reserve,50000,6,Medium,Highly Variable Income
